web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,prix,adresse,images-src
"1716567964-1","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","Appartement à louer à Thiès","https://www.dakarvente.com/annonce-11706-imo-imo.html","Appartement à louer à Thiès","","Thiès","img/nophoto.png"
"1716567968-2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","Appartement à louer","https://www.dakarvente.com/annonce-11739-appartement-louer.html","Appartement à louer","300.000  FCFA","Liberté 6","media/annonces/pics/4673747902692e7e224612ffd0f57a66.jpg"
"1716567972-3","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","Appartement à louer 2 chambres salon","https://www.dakarvente.com/annonce-11762-appartement-louer-2chambre-salon.html","Appartement à louer 2 chambres salon","160.000  FCFA","Nord Foire","media/annonces/pics/d79487beeb8d703eaa34f3e8f67b3f0a.jpg"
"1716567979-4","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","Location Appartements 2 pièces - Point E","https://www.dakarvente.com/annonce-11772-location-appartements-2-pices-point-e.html","Location Appartements 2 pièces - Point E","30.000  FCFA","Point E","media/annonces/pics/44e714e3c9b068a23e40cfc985fd1da6.jpg"
"1716567982-5","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","APPARTEMENTS NEUFS EN FINITION A LOUER","https://www.dakarvente.com/annonce-11870-appartements-neufs-en-finition-a-louer-a-sacre-coeur-3.html","APPARTEMENTS NEUFS EN FINITION A LOUER","300.000  FCFA","Sacré Coeur","media/annonces/pics/7c673e65262e7d25259b3b6783c367a0.jpeg"
"1716567986-6","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","APPARTEMENT SANS MEUBLE A LOUER","https://www.dakarvente.com/annonce-11897-appartement-sans-meuble-a-louer-a-sacre-coeur-3-au-rdc.html","APPARTEMENT SANS MEUBLE A LOUER","500.000  FCFA","Sacré Coeur","media/annonces/pics/d75adbc9ad3738495da15441b95319ec.jpeg"
"1716567995-7","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","Studio à louer à gueule tapée","https://www.dakarvente.com/annonce-11988-studio-a-louer-gueule-tape.html","Studio à louer à gueule tapée","175.000  FCFA","Gueule tapée","media/annonces/pics/52580ccb089a649906f0b17b325d8378.jpg"
"1716568000-8","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","APPARTEMENT A LOUER A KEUR MASSAR CITE DES AMBASSADES","https://www.dakarvente.com/annonce-12043-appartement-a-louer-a-keur-massar-cite-des-ambassades.html","APPARTEMENT A LOUER A KEUR MASSAR CITE DES AMBASSADES","100.000  FCFA","Keur Massar","media/annonces/pics/3f4f3e61dc86b21a294ee06fe4a80b97.jpeg"
"1716568003-9","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","APPARTEMENT A LOUER A SACRE COEUR 3","https://www.dakarvente.com/annonce-12045-appartement-a-louer-a-sacre-coeur-3.html","APPARTEMENT A LOUER A SACRE COEUR 3","250.000  FCFA","Sacré Coeur","media/annonces/pics/c73b4c92656ef7f90846499ef2bd61ae.jpg"
"1716568007-10","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","Appartement à louer","https://www.dakarvente.com/annonce-12251-appartement-a-louer-a-sacre-coeur-3.html","Appartement à louer","500.000  FCFA","Sacré Coeur","media/annonces/pics/5d0f9d5bb65697c22b7113fba94c5230.jpeg"
"1716568011-11","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","APPARTEMENT A LOUER A KEUR MASSAR CITE DES AMBASSADES","https://www.dakarvente.com/annonce-12393-appartement-a-louer-a-keur-massar-cite-des-ambassades.html","APPARTEMENT A LOUER A KEUR MASSAR CITE DES AMBASSADES","100.000  FCFA","Keur Massar","media/annonces/pics/749cf2776e4866bbf936c7ab92041f6d.jpeg"
"1716568015-12","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","Studios","https://www.dakarvente.com/annonce-12456-immobilier.html","Studios","130.000  FCFA","Ouakam","media/annonces/pics/3561d43123910a1413e965f0bad830ee.jpg"
"1716568019-13","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","Appartement luxueux à louer à Mermoz","https://www.dakarvente.com/annonce-12599-luxueux-appartement-a-louer-a-mermoz.html","Appartement luxueux à louer à Mermoz","300.000  FCFA","Mermoz","media/annonces/pics/415bc9702714033a2805282643d64834.jpeg"
"1716568023-14","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=26","Location F3 cité keur gorgui","https://www.dakarvente.com/annonce-12744-location-f3-cit-keur-gorgui.html","Location F3 cité keur gorgui","250.000  FCFA","Cité Keur Gorgui","media/annonces/pics/603fead21a5fb8b91e3cfed4f88f7fc0.jpg"
