web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,prix,adresse,image-src
"1716555621-1","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=49","Keur massar - terrain","https://www.dakarvente.com/annonce-38-keur-massar-terrain.html","Keur massar - terrain","3.500.000  FCFA","Plateau","media/annonces/pics/cf16bc10ac0c745700c7d3c81498ad2b.jpg"
"1716555650-2","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=49","Terrains viabilisés à vendre!","https://www.dakarvente.com/annonce-370-terrains-viabiliss-vendre.html","Terrains viabilisés à vendre!","6.500.000  FCFA","Plateau","media/annonces/pics/21401911dc748222a45e300df2168e55.jpg"
"1716555654-3","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=49","Terrain","https://www.dakarvente.com/annonce-615-terrain.html","Terrain","120.000.000  FCFA","Thiès","media/annonces/pics/359cb07d7bfef1a735b36566cb30f356.jpg"
"1716555658-4","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=49","TERRAINS A VENDRE","https://www.dakarvente.com/annonce-671-terrains-a-vendre.html","TERRAINS A VENDRE","8.500.000  FCFA","Guédiawaye","img/nophoto.png"
"1716555662-5","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=49","TERRAINS A VENDRE A GUEDE TOUBA","https://www.dakarvente.com/annonce-672-terrains-a-vendre-a-guede-touba.html","TERRAINS A VENDRE A GUEDE TOUBA","4.500.000  FCFA","Diourbel","img/nophoto.png"
"1716555672-6","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Terrain à kayar","https://www.dakarvente.com/annonce-40-terrain-kayar.html","Terrain à kayar","2.500.000  FCFA","Plateau","media/annonces/pics/ffb509f95736bb7ebe4b8b8f31a65422.jpg"
"1716555676-7","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Lot de terrains de 225 m² à diass","https://www.dakarvente.com/annonce-39-lot-de-terrains-de-225-m-diass.html","Lot de terrains de 225 m² à diass","3.000.000  FCFA","Plateau","media/annonces/pics/f56e59a283850a36def118ab3e13b8c4.jpg"
"1716555680-8","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","TERRAIN A VENDRE A MALIBU GOLF","https://www.dakarvente.com/annonce-699-terrain-a-vendre-a-malibu-golf.html","TERRAIN A VENDRE A MALIBU GOLF","18.000.000  FCFA","Guédiawaye","img/nophoto.png"
"1716555684-9","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Terrain urgent a vendre","https://www.dakarvente.com/annonce-724-terrain-vague.html","Terrain urgent a vendre","2.000.000  FCFA","Plateau","media/annonces/pics/36d6598be05f171bff68de123f6cb442.jpeg"
"1716555689-10","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","TERRAIN  A VENDRE CITTE DALAL DIAM","https://www.dakarvente.com/annonce-674-terrain-a-vendre-citte-dalal-diam.html","TERRAIN  A VENDRE CITTE DALAL DIAM","28.000.000  FCFA","Guédiawaye","img/nophoto.png"
"1716555778-11","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Terrain à vendre Zone B","https://www.dakarvente.com/annonce-814-terrain-vendre-zone-b.html","Terrain à vendre Zone B","230.000.000  FCFA","Plateau","media/annonces/pics/16a5baefcc6d02dbcb4f0ebd85c0adfe.jpg"
"1716555790-12","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Vente terrain","https://www.dakarvente.com/annonce-839-vente-terrain.html","Vente terrain","18.000.000  FCFA","Thiès","media/annonces/pics/96d0c65132e226bcc70c3767e2468249.jpg"
"1716555797-13","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage)","https://www.dakarvente.com/annonce-849-terrains-de-150-m2-almadies-2-zac-mbao-cot-d-page.html","Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage)","1.000.000  FCFA","Rufisque","media/annonces/pics/8e5b8576ae2e23d82b805faa59f4dbe0.jpg"
"1716555801-14","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Terrain à vendre à partir de 1 ha, vue sur la lagune.","https://www.dakarvente.com/annonce-940-terrain-vendre-partir-de-1-ha-vue-sur-la-lagune.html","Terrain à vendre à partir de 1 ha, vue sur la lagune.","12.000  FCFA","Mbour","media/annonces/pics/7986a77d3123955e348c564e3061f245.jpg"
"1716555804-15","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Vends terrain 150m2 à Bambilor","https://www.dakarvente.com/annonce-978-vends-terrain-150m2-bambilor.html","Vends terrain 150m2 à Bambilor","2.500.000  FCFA","Plateau","media/annonces/pics/44b400221f2aa271dc46ad95b8b6c1ec.jpg"
"1716555808-16","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","DES TERRAINS A VENDRE","https://www.dakarvente.com/annonce-982-des-terrains-a-vendre.html","DES TERRAINS A VENDRE","10.000  FCFA","Plateau","media/annonces/pics/a5276af01a98c4f0c6bc98e049222486.jpg"
"1716555816-17","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Diass Aeroport ( Thicky ) Terrains A Vendre","https://www.dakarvente.com/annonce-996-diass-aeroport-thicky-terrains-a-vendre.html","Diass Aeroport ( Thicky ) Terrains A Vendre","1.500.000  FCFA","Plateau","media/annonces/pics/30a15a4fd0a31376d5c8fbf176bbb5cc.jpg"
"1716555836-18","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Diamniadio Lot de Terrains A Vendre","https://www.dakarvente.com/annonce-998-diamniadio-lot-de-terrains-a-vendre.html","Diamniadio Lot de Terrains A Vendre","4.000.000  FCFA","Plateau","media/annonces/pics/f346db2c86343ec77b13ec7c9d50f463.jpg"
"1716555840-19","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=48","Diass Aeroport ( Landou ) Terrains A Vendre","https://www.dakarvente.com/annonce-1000-diass-aeroport-landou-terrains-a-vendre.html","Diass Aeroport ( Landou ) Terrains A Vendre","3.500.000  FCFA","Plateau","media/annonces/pics/a9bde55998db8f58c310b1fe9de2bca0.jpg"
