web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,prix,adresse,images-src
"1716574694-43","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","APPARTEMENT ET STUDIO A LOUER AU POINT E","https://www.dakarvente.com/annonce-3394-appartement-et-studio-a-louer-au-point-e.html","APPARTEMENT ET STUDIO A LOUER AU POINT E","400.000  FCFA","Point E","media/annonces/pics/150310cb8e401cd513d8797e2a601f34.jpg"
"1716574698-44","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement à louer au Point E par mois","https://www.dakarvente.com/annonce-3390-appartement-louer-au-point-e-par-mois.html","Appartement à louer au Point E par mois","900.000  FCFA","Point E","media/annonces/pics/9fccf73290681f62c746bf0c9c396632.jpg"
"1716574701-45","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","BIENS A LOUER A LIBERTE 3","https://www.dakarvente.com/annonce-3156-biens-a-louer-a-liberte-3.html","BIENS A LOUER A LIBERTE 3","1  FCFA","Point E","media/annonces/pics/b47ca1a844fe3e3ff04af137ee5913d5.jpg"
"1716574705-46","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","RESIDENCES AUX ALMADIES","https://www.dakarvente.com/annonce-3153-residences-aux-almadies.html","RESIDENCES AUX ALMADIES","20.000  FCFA","Point E","media/annonces/pics/6e72ed04d9c4f65bc861e5c4014d8142.jpg"
"1716574708-47","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement à louer au Point E par mois","https://www.dakarvente.com/annonce-3149-appartement-louer-au-point-e-par-mois.html","Appartement à louer au Point E par mois","900.000  FCFA","Point E","media/annonces/pics/6839add35b32bfcc942ebc213e5329d6.jpg"
"1716574711-48","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement à louer au Point E par mois","https://www.dakarvente.com/annonce-3261-appartement-louer-au-point-e-par-mois.html","Appartement à louer au Point E par mois","900.000  FCFA","Point E","media/annonces/pics/cea011e6c45f8b217cc554e52a8032a2.jpg"
"1716574715-49","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement de 3 chambres Salon à louer à Saly Sénégal","https://www.dakarvente.com/annonce-44814-appartement-de-3-chambres-salon-louer-saly-sngal.html","Appartement de 3 chambres Salon à louer à Saly Sénégal","100.000  FCFA","Saly","media/annonces/pics/61cf734626c78935794aad32a18d8f35.jpg"
"1716574719-50","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","F2 a louer","https://www.dakarvente.com/annonce-44816-f2-a-louer.html","F2 a louer","150.000  FCFA","Ouest Foire","media/annonces/pics/14e82414399ed2bd0af6cd343c7543ea.jpeg"
"1716574723-51","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","A louer au Mamelles un appartement","https://www.dakarvente.com/annonce-44831-a-louer-au-mamelles-un-appartement.html","A louer au Mamelles un appartement","325.000  FCFA","Dakar","media/annonces/pics/24fcfea880fb97ee9aa0a2d2d1e73802.jpg"
"1716574726-52","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Studio F2 haut de gamme à la location au point E","https://www.dakarvente.com/annonce-44850-studio-f2-haut-de-gamme-la-location-au-point-e.html","Studio F2 haut de gamme à la location au point E","550.000  FCFA","Point E","media/annonces/pics/2c70d9f1db2285a3616f719e394874aa.jpg"
"1716574731-53","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Studio meublé F2 à louer à Saly","https://www.dakarvente.com/annonce-44851-studio-meubl-f2-louer-saly.html","Studio meublé F2 à louer à Saly","175.000  FCFA","Saly","media/annonces/pics/9a631bbb323b61d8fab3d788423ab455.jpg"
"1716574735-54","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","APPARTEMENT MEUBLÉ À LOUER MAMELLES","https://www.dakarvente.com/annonce-44852-appartement-meubl-louer-mamelles.html","APPARTEMENT MEUBLÉ À LOUER MAMELLES","45.000  FCFA","Mamelles","media/annonces/pics/ef7c6b785c16ab197271180655b32969.jpeg"
"1716574739-55","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement 2 chambre salon ( sacree coeur 3 )","https://www.dakarvente.com/annonce-44862-appartement-2-chambre-salon-sacree-coeur-3.html","Appartement 2 chambre salon ( sacree coeur 3 )","325.000  FCFA","Sacré Coeur","media/annonces/pics/0dc9dd2afebc59c5f8d25d3716893f73.png"
"1716574744-56","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","appartement à louer","https://www.dakarvente.com/annonce-44866-appartement-louer.html","appartement à louer","2.700.000  FCFA","Dakar","media/annonces/pics/45936a63055e73ee247abd5b9ccc93d3.jpeg"
"1716574749-57","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","STUDIO MEUBLÉ À LOUER NGOR ALMADIES","https://www.dakarvente.com/annonce-44896-studio-meubl-louer-ngor-almadies.html","STUDIO MEUBLÉ À LOUER NGOR ALMADIES","35.000  FCFA","Almadies","media/annonces/pics/e4d3de5cf0be5eb6d72fc43cf7465af2.jpeg"
"1716574756-58","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","APPARTEMENT MEUBLÉ À LA RÉSIDENCE ATAYA","https://www.dakarvente.com/annonce-44897-appartement-meubl-la-rsidence-ataya.html","APPARTEMENT MEUBLÉ À LA RÉSIDENCE ATAYA","80.000  FCFA","Yoff","media/annonces/pics/e4e1a508d600df5d84f7061cee993c37.jpeg"
"1716574763-59","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement à louer mamelles","https://www.dakarvente.com/annonce-44898-appartement-louer-mamelles.html","Appartement à louer mamelles","450.000  FCFA","Mamelles","media/annonces/pics/5d4636af146638f21961858ba1d34fce.jpeg"
"1716574769-60","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement à louer Mamelles","https://www.dakarvente.com/annonce-44899-appartement-louer-mamelles.html","Appartement à louer Mamelles","500.000  FCFA","Mamelles","media/annonces/pics/2ceaabda85181ee63cc231f6005c5b74.jpeg"
"1716574773-61","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Bel appartement F3 à louer à Saly","https://www.dakarvente.com/annonce-44904-bel-appartement-f3-louer-saly.html","Bel appartement F3 à louer à Saly","300.000  FCFA","Saly","media/annonces/pics/c73c84c18b73bcf5e9370748ad035dd2.jpg"
"1716574777-62","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Bel appartement non meublé 4 pièces à louer à Saly","https://www.dakarvente.com/annonce-44906-bel-appartement-non-meubl-4-pices-louer-saly.html","Bel appartement non meublé 4 pièces à louer à Saly","225.000  FCFA","Saly","media/annonces/pics/07098c52dfdb57b723c1c71809e717b4.png"
"1716574782-63","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","appartement neuf à louer","https://www.dakarvente.com/annonce-44935-appartement-neuf-louer.html","appartement neuf à louer","250.000  FCFA","Cité avion","media/annonces/pics/b9e4b090eb0d1dc39aa3e4bd0296f6fb.jpeg"
"1716574793-64","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement à louer Mermoz","https://www.dakarvente.com/annonce-44939-appartement-louer-mermoz.html","Appartement à louer Mermoz","14  FCFA","Mermoz","media/annonces/pics/00a3f68683153555ad549ef08e70b786.png"
"1716574798-65","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement f4 à louer","https://www.dakarvente.com/annonce-44949-appartement-f4-louer.html","Appartement f4 à louer","275.000  FCFA","Nord Foire","media/annonces/pics/4505e39fc1b3796cc540fefa975e9008.jpeg"
"1716574802-66","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","appartement à louer","https://www.dakarvente.com/annonce-44958-appartement-louer.html","appartement à louer","250.000  FCFA","Cité avion","media/annonces/pics/2f671159db8256f1cd2284d9f7e92b4c.jpeg"
"1716574805-67","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","APPARTEMENT MEUBLÉ À LOUER YOFF ONOMO","https://www.dakarvente.com/annonce-44968-appartement-meubl-louer-yoff-onomo.html","APPARTEMENT MEUBLÉ À LOUER YOFF ONOMO","82.500  FCFA","Yoff","media/annonces/pics/4f405f04e10113d2eba2cf93f1bf20bc.jpeg"
"1716574809-68","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement à louer Mermoz Batrain RDC","https://www.dakarvente.com/annonce-44971-appartement-louer-mermoz-batrain-rdc.html","Appartement à louer Mermoz Batrain RDC","350.000  FCFA","Mermoz","media/annonces/pics/bd5feac2b69adf04ab254726561d0c87.jpeg"
"1716574812-69","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Magnifique appartement meublé F3 à louer à Ngor Almadies","https://www.dakarvente.com/annonce-44991-magnifique-appartement-meubl-f3-louer-ngor-almadies.html","Magnifique appartement meublé F3 à louer à Ngor Almadies","1.100.000  FCFA","Ngor","media/annonces/pics/1487b780b1469b7d7b34784d6851da30.jpg"
"1716574816-70","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","appartement à louer","https://www.dakarvente.com/annonce-45031-appartement-louer.html","appartement à louer","1.300.000  FCFA","Almadies","media/annonces/pics/267a3c00440fa3bf35113b8b6fb4ad9e.jpeg"
"1716574837-71","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement à louer","https://www.dakarvente.com/annonce-45032-appartement-louer.html","Appartement à louer","300.000  FCFA","Scat Urbam","media/annonces/pics/ff9b5e547f86a05fd56e04d350c6d693.png"
"1716574853-72","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartement à louer avec ascenseur","https://www.dakarvente.com/annonce-45033-appartement-louer-avec-ascenseur.html","Appartement à louer avec ascenseur","600.000  FCFA","Cité Keur Gorgui","media/annonces/pics/aed45dc75d2cfaacd7777130c2d8d06b.png"
"1716574856-73","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","APPARTEMENT MEUBLÉ A LOUER VIRAGE","https://www.dakarvente.com/annonce-45047-appartement-meubl-a-louer-virage.html","APPARTEMENT MEUBLÉ A LOUER VIRAGE","40.000  FCFA","Virage","media/annonces/pics/ffa353b712cad49878aa342249aab6d8.jpeg"
"1716574869-74","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","bel appartement à louer avec ascenseur","https://www.dakarvente.com/annonce-45127-bel-appartement-louer-avec-ascenseur.html","bel appartement à louer avec ascenseur","600.000  FCFA","Cité Keur Gorgui","media/annonces/pics/b82ebe6a17c412dc0b26fbfe97c9d618.png"
"1716574876-75","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","bel appartement à louer","https://www.dakarvente.com/annonce-45145-bel-appartement-louer.html","bel appartement à louer","400.000  FCFA","Mamelles","media/annonces/pics/d9304a1ca810e5957c781636f241b12b.png"
"1716574890-76","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","bel appartement à louer","https://www.dakarvente.com/annonce-45147-bel-appartement-louer.html","bel appartement à louer","400.000  FCFA","Mamelles","media/annonces/pics/40b4995b6753e73625702ca70f94c511.png"
"1716574901-77","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Apparemment F3 à louer Mermoz","https://www.dakarvente.com/annonce-45149-apparemment-f3-louer-mermoz.html","Apparemment F3 à louer Mermoz","1.200.000  FCFA","Mermoz","media/annonces/pics/1137a3c3d4ba453b790401ea0b57b9b4.jpeg"
"1716574905-78","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","appartement à louer","https://www.dakarvente.com/annonce-45202-appartement-louer.html","appartement à louer","400.000  FCFA","Almadies","media/annonces/pics/ea197f742b9c7433233ae805e8c6be5e.jpeg"
"1716574933-79","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Bel appartement neuf à louer","https://www.dakarvente.com/annonce-45249-bel-appartement-neuf-louer.html","Bel appartement neuf à louer","450.000  FCFA","Ngor",""
"1716574943-80","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Bel appartement F3 à louer à Yoff tongor","https://www.dakarvente.com/annonce-45256-bel-appartement-f3-louer-yoff-tongor.html","Bel appartement F3 à louer à Yoff tongor","230.000  FCFA","Yoff","media/annonces/pics/ef77c0b66e84bb6fa10ded4b10cec58d.png"
"1716574947-81","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","Appartements à louer virage cité indien","https://www.dakarvente.com/annonce-45274-appartements-louer-virage-cit-indien.html","Appartements à louer virage cité indien","225.000  FCFA","Virage","media/annonces/pics/8511ff6f220f6e3ef1a75f2a1feb4858.jpeg"
"1716574950-82","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","APPARTEMENT MEUBLÉ A LOUER VIRAGE","https://www.dakarvente.com/annonce-45276-appartement-meubl-a-louer-virage.html","APPARTEMENT MEUBLÉ A LOUER VIRAGE","40.000  FCFA","Virage","media/annonces/pics/4969dbacd6fde075a90b0716f89c92ea.jpeg"
"1716574953-83","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","STUDIO MEUBLÉ À LOUER SACRÉ CŒUR 3","https://www.dakarvente.com/annonce-45279-studio-meubl-louer-sacr-coeur-3.html","STUDIO MEUBLÉ À LOUER SACRÉ CŒUR 3","40.000  FCFA","Sacré Coeur","media/annonces/pics/6c1cca473163c84ea16785962f83d4fe.jpeg"
"1716574956-84","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=1","APPARTEMENT F4 À LOUER SACRÉ CŒUR 3","https://www.dakarvente.com/annonce-45280-appartement-f4-louer-sacr-coeur-3.html","APPARTEMENT F4 À LOUER SACRÉ CŒUR 3","750.000  FCFA","Sacré Coeur","media/annonces/pics/140d9ada3ba11228de99ae77bd9a3665.jpeg"
