web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,prix,adresse,images-src
"1716574551-19","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement de type F4 a louer Dakar Apix","https://www.dakarvente.com/annonce-43825-appartement-de-type-f4-a-louer-dakar-apix.html","Appartement de type F4 a louer Dakar Apix","250.000  FCFA","Keur Massar","media/annonces/pics/95ea58785458a04cb4cda79584e96d2b.png"
"1716574556-20","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement f4 à Louer","https://www.dakarvente.com/annonce-43835-appartement-f4-louer.html","Appartement f4 à Louer","415.000  FCFA","Sacré Coeur","media/annonces/pics/497db0878940bd9636f26b52ea4f7be1.jpeg"
"1716574560-21","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement a louer","https://www.dakarvente.com/annonce-43836-appartement-a-louer.html","Appartement a louer","300.000  FCFA","Sacré Coeur","media/annonces/pics/e0e7b0c18de87b4e5a6aa7093e73ef5a.jpeg"
"1716574564-22","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","magnifique appartement 2 chambre salon","https://www.dakarvente.com/annonce-43848-magnifique-appartement-2-chambre-salon.html","magnifique appartement 2 chambre salon","50.000  FCFA","Biagui","media/annonces/pics/9abb6261045df548c0ee2b472b89e47a.jpeg"
"1716574567-23","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement à louer Keur Massar Apix","https://www.dakarvente.com/annonce-43852-appartement-louer-keur-massar-apix.html","Appartement à louer Keur Massar Apix","250.000  FCFA","Keur Massar","media/annonces/pics/14b174e966aa98291d803eea7a04549a.png"
"1716574571-24","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","appartements  meublée a louer a la cite apix corniche vdn3","https://www.dakarvente.com/annonce-43898-appartements-meuble-a-louer-a-la-cite-apix-corniche-vdn3.html","appartements  meublée a louer a la cite apix corniche vdn3","30.000  FCFA","Dakar","media/annonces/pics/c92e3379375d13e3188b372295dc76f3.png"
"1716574576-25","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Studio meublé disponible à ngor","https://www.dakarvente.com/annonce-43907-studio-meubl-disponible-ngor.html","Studio meublé disponible à ngor","30.000  FCFA","Dakar","media/annonces/pics/afa7b7a66fcc08d8bd873f5bb03d19fe.jpeg"
"1716574580-26","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement de 4 chambres salons avec 4 toilettes","https://www.dakarvente.com/annonce-43947-appartement-de-4-chambres-salons-avec-4-toilettes.html","Appartement de 4 chambres salons avec 4 toilettes","600.000  FCFA","Mermoz","media/annonces/pics/2a5d7416a76f16fae5d5819abb8fdcde.jpeg"
"1716574584-27","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement à louer Dakar keur gorgui","https://www.dakarvente.com/annonce-43948-appartement-louer-dakar-keur-gorgui.html","Appartement à louer Dakar keur gorgui","700.000  FCFA","Cité Keur Gorgui","media/annonces/pics/194a1e82631e87e66d723cae14b61f60.jpeg"
"1716574587-28","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement meublé","https://www.dakarvente.com/annonce-43973-appartement-meubl.html","Appartement meublé","45.000  FCFA","Biagui","media/annonces/pics/34a9390e9fe03016d4e1cc0a52ebf67e.jpeg"
"1716574593-29","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Bel appartement à louer","https://www.dakarvente.com/annonce-43987-bel-appartement-louer.html","Bel appartement à louer","450.000  FCFA","Mamelles","media/annonces/pics/5818261600ab859f95a783f285281171.png"
"1716574598-30","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement de 3 chambres","https://www.dakarvente.com/annonce-44006-appartement-de-3-chambres.html","Appartement de 3 chambres","70.000  FCFA","Ouakam","media/annonces/pics/62088d3d406ec086f251d0a79e8788fe.jpeg"
"1716574602-31","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement à louer CITE KEUR GORGUI","https://www.dakarvente.com/annonce-44073-appartement-louer-cite-keur-gorgui.html","Appartement à louer CITE KEUR GORGUI","900.000  FCFA","Cité Keur Gorgui","media/annonces/pics/f105e631a7525cc5b79806d4b215e2ac.jpeg"
"1716574605-32","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","A louer à Sacré cœur 1","https://www.dakarvente.com/annonce-44074-a-louer-sacr-coeur-1.html","A louer à Sacré cœur 1","400.000  FCFA","Sacré Coeur","media/annonces/pics/0601ad0e5d353ceafb5b8130a7a378d9.jpeg"
"1716574611-33","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Location Studio Chambre salon à Kounoune","https://www.dakarvente.com/annonce-44093-location-studio-chambre-salon-kounoune.html","Location Studio Chambre salon à Kounoune","80.000  FCFA","Keur Massar","media/annonces/pics/f4bc34960fb183fe76251b661f2dda28.jpg"
"1716574616-34","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Location Studio (Grand Modèle) Chambre salon à Kounoune","https://www.dakarvente.com/annonce-44095-location-studio-grand-modle-chambre-salon-kounoune.html","Location Studio (Grand Modèle) Chambre salon à Kounoune","90.000  FCFA","Keur Massar","media/annonces/pics/102ac57549898ff00be45626cb45bffc.jpg"
"1716574621-35","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","APPARTEMENT MEUBLÉ À LOUER MAMELLES","https://www.dakarvente.com/annonce-44117-appartement-meubl-louer-mamelles.html","APPARTEMENT MEUBLÉ À LOUER MAMELLES","55.000  FCFA","Mamelles","media/annonces/pics/44d9fe6a8b10ec71ae988b86b992ce86.jpeg"
"1716574625-36","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","STUDIO À LOUER LIBERTÉ 6","https://www.dakarvente.com/annonce-44146-studio-louer-libert-6.html","STUDIO À LOUER LIBERTÉ 6","45.000  FCFA","Liberté 6","media/annonces/pics/8cb49c347df8caecc7490707b2ca04c1.jpeg"
"1716574628-37","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement à louer point E","https://www.dakarvente.com/annonce-44153-appartement-louer-point-e.html","Appartement à louer point E","375.000  FCFA","Point E","media/annonces/pics/3208992adbad43a0df2bf1777660f774.jpg"
"1716574632-38","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Studio à louer","https://www.dakarvente.com/annonce-44163-studio-louer.html","Studio à louer","180.000  FCFA","Ouest Foire","media/annonces/pics/6fdd6542abd294b7cb4ba19c7dcf0d20.jpeg"
"1716574636-39","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement standing de 2 chambres en location sur Saly","https://www.dakarvente.com/annonce-44229-appartement-standing-de-2-chambres-en-location-sur-saly.html","Appartement standing de 2 chambres en location sur Saly","275.000  FCFA","Saly","media/annonces/pics/b3a3ffb8a8be72abde216b39931779c6.jpeg"
"1716574642-40","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement à louer","https://www.dakarvente.com/annonce-44271-appartement-louer.html","Appartement à louer","225.000  FCFA","Maristes","media/annonces/pics/1b7af92229e4590707ce8c27821eccac.jpeg"
"1716574646-41","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement à louer","https://www.dakarvente.com/annonce-44280-appartement-louer.html","Appartement à louer","280.000  FCFA","Sicap Foire","media/annonces/pics/ca867f5ca13fd3da28c47bf196a56905.jpeg"
"1716574659-42","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","TRÈS JOLI APPARTEMENT À LOUER","https://www.dakarvente.com/annonce-44282-trs-joli-appartement-louer.html","TRÈS JOLI APPARTEMENT À LOUER","280.000  FCFA","Sud Foire","media/annonces/pics/5a4fc75f9e1df6ff790bc9ac49294d3e.jpg"
