web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,prix,adresse,images-src
"1716571088-36","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","Location appartement","https://www.dakarvente.com/annonce-27982-location-appartement.html","Location appartement","1.554.000  FCFA","Cité Keur Gorgui","media/annonces/pics/0eb3102477fde60bae14a5e3c86fc91e.jpg"
"1716571091-37","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","Studio séparé à louer à nord foire","https://www.dakarvente.com/annonce-28082-studio-spar-louer-nord-foire.html","Studio séparé à louer à nord foire","140.000  FCFA","Nord Foire","img/nophoto.png"
"1716571095-38","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","2 chambres salon neuf à la cité Damel","https://www.dakarvente.com/annonce-28083-2-chambres-salon-neuf-la-cit-damel.html","2 chambres salon neuf à la cité Damel","250.000  FCFA","Nord Foire","media/annonces/pics/71f01e9398c0be3b77c37453ef470e65.jpg"
"1716571098-39","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","2 chambres salon à louer à la cité biagui","https://www.dakarvente.com/annonce-28084-2-chambres-salon-louer-la-cit-biagui.html","2 chambres salon à louer à la cité biagui","250.000  FCFA","Biagui","img/nophoto.png"
"1716571101-40","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","Appartement F4 neuf","https://www.dakarvente.com/annonce-28085-appartement-f4-neuf.html","Appartement F4 neuf","600.000  FCFA","Ngor","media/annonces/pics/8ea50a61543055ebe61e80dc54c260d2.jpg"
"1716571105-41","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","Studio séparé neuf avec 2 toilettes","https://www.dakarvente.com/annonce-28144-studio-spar-neuf-avec-2-toilettes.html","Studio séparé neuf avec 2 toilettes","200.000  FCFA","Ouest Foire","media/annonces/pics/0a056b98bf15e746f18436385590e9c2.jpg"
"1716571109-42","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","Chambre avec salle de bain","https://www.dakarvente.com/annonce-28230-chambre-avec-salle-de-bain.html","Chambre avec salle de bain","70.000  FCFA","Plateau","img/nophoto.png"
"1716571112-43","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","Appartement  à louer","https://www.dakarvente.com/annonce-28455-appartement-louer.html","Appartement  à louer","350.000  FCFA","Ouakam","media/annonces/pics/21a6e51e2afc691d589c466bc935f502.png"
"1716571123-44","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","Appartement de 2 chambres salon","https://www.dakarvente.com/annonce-28478-appartement-de-2-chambres-salon.html","Appartement de 2 chambres salon","200.000  FCFA","Ouakam","media/annonces/pics/c9997d797462f5ad370e46b69d06248c.jpg"
"1716571128-45","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=12","JOLI APPARTEMENT DE 4 CHAMBRES SALON","https://www.dakarvente.com/annonce-28493-joli-appartement-de-4-chambres-salon.html","JOLI APPARTEMENT DE 4 CHAMBRES SALON","400.000  FCFA","Mermoz","media/annonces/pics/8378a3e73a8a4fe1985028457d30f1b2.jpg"
